user_id,text_set,setting_type,value,updated_at
123456,1,text_content,CREMO ไอศกรีมสด,2025-11-10T10:00:00Z
123456,1,font_family,Mitr,2025-11-10T10:00:00Z
123456,1,font_size,80,2025-11-10T10:00:00Z
123456,1,font_weight,bold,2025-11-10T10:00:00Z
123456,1,color,FFFFFF,2025-11-10T10:00:00Z
123456,1,position,north,2025-11-10T10:00:00Z
123456,1,x_offset,0,2025-11-10T10:00:00Z
123456,1,y_offset,50,2025-11-10T10:00:00Z
123456,1,max_width,800,2025-11-10T10:00:00Z
123456,1,stroke_enabled,TRUE,2025-11-10T10:00:00Z
123456,1,stroke_color,000000,2025-11-10T10:00:00Z
123456,1,stroke_width,3,2025-11-10T10:00:00Z
123456,1,shadow_enabled,TRUE,2025-11-10T10:00:00Z
123456,1,shadow_strength,40,2025-11-10T10:00:00Z
123456,1,arc_angle,0,2025-11-10T10:00:00Z
123456,1,background_enabled,FALSE,2025-11-10T10:00:00Z
123456,1,blend_mode,normal,2025-11-10T10:00:00Z
123456,1,scale_mode,fit,2025-11-10T10:00:00Z
123456,1,status,active,2025-11-10T10:00:00Z
123456,2,text_content,เริ่มต้นเพียง 2500 บาท,2025-11-10T10:00:00Z
123456,2,font_family,Mitr,2025-11-10T10:00:00Z
123456,2,font_size,60,2025-11-10T10:00:00Z
123456,2,font_weight,normal,2025-11-10T10:00:00Z
123456,2,color,FFD700,2025-11-10T10:00:00Z
123456,2,position,center,2025-11-10T10:00:00Z
123456,2,x_offset,0,2025-11-10T10:00:00Z
123456,2,y_offset,0,2025-11-10T10:00:00Z
123456,2,max_width,700,2025-11-10T10:00:00Z
123456,2,stroke_enabled,TRUE,2025-11-10T10:00:00Z
123456,2,stroke_color,000000,2025-11-10T10:00:00Z
123456,2,stroke_width,2,2025-11-10T10:00:00Z
123456,2,shadow_enabled,TRUE,2025-11-10T10:00:00Z
123456,2,shadow_strength,30,2025-11-10T10:00:00Z
123456,2,arc_angle,0,2025-11-10T10:00:00Z
123456,2,background_enabled,TRUE,2025-11-10T10:00:00Z
123456,2,background_color,000000,2025-11-10T10:00:00Z
123456,2,background_opacity,70,2025-11-10T10:00:00Z
123456,2,blend_mode,overlay,2025-11-10T10:00:00Z
123456,2,scale_mode,fit,2025-11-10T10:00:00Z
123456,2,status,active,2025-11-10T10:00:00Z
123456,3,text_content,สั่งเลยวันนี้!,2025-11-10T10:00:00Z
123456,3,font_family,Kanit,2025-11-10T10:00:00Z
123456,3,font_size,70,2025-11-10T10:00:00Z
123456,3,font_weight,bold,2025-11-10T10:00:00Z
123456,3,color,FF0000,2025-11-10T10:00:00Z
123456,3,position,south,2025-11-10T10:00:00Z
123456,3,x_offset,0,2025-11-10T10:00:00Z
123456,3,y_offset,-50,2025-11-10T10:00:00Z
123456,3,max_width,600,2025-11-10T10:00:00Z
123456,3,stroke_enabled,TRUE,2025-11-10T10:00:00Z
123456,3,stroke_color,FFFFFF,2025-11-10T10:00:00Z
123456,3,stroke_width,4,2025-11-10T10:00:00Z
123456,3,shadow_enabled,FALSE,2025-11-10T10:00:00Z
123456,3,arc_angle,15,2025-11-10T10:00:00Z
123456,3,background_enabled,FALSE,2025-11-10T10:00:00Z
123456,3,blend_mode,multiply,2025-11-10T10:00:00Z
123456,3,scale_mode,scale,2025-11-10T10:00:00Z
123456,3,status,active,2025-11-10T10:00:00Z
